feature_idx,train_pearson_r,train_pearson_p_emp,train_pearson_sig,train_spearman_rho,train_spearman_p,train_n_used,all_pearson_r,all_pearson_p_emp,all_pearson_sig,all_spearman_rho,all_spearman_p,all_n_used
0,-0.567762436,0.000999001,TRUE,-0.604905049,1.29E-12,113,-0.405015705,0.000999001,TRUE,-0.44715478,4.10E-12,218
1,-0.488560792,0.000999001,TRUE,-0.581288913,1.47E-11,113,-0.417206653,0.000999001,TRUE,-0.451713925,2.33E-12,218
2,-0.455061627,0.000999001,TRUE,-0.526664378,2.07E-09,113,-0.415920689,0.000999001,TRUE,-0.427176225,4.42E-11,218
3,-0.400689085,0.000999001,TRUE,-0.473350367,5.89E-09,136,-0.235867451,0.000999001,TRUE,-0.318634803,1.69E-07,258
4,-0.442206293,0.000999001,TRUE,-0.517197177,1.14E-10,136,-0.37521645,0.000999001,TRUE,-0.397397689,3.42E-11,258
5,-0.302135777,0.000999001,TRUE,-0.326424421,0.000105154,136,-0.248976295,0.000999001,TRUE,-0.277183541,6.20E-06,258
6,-0.341401448,0.000999001,TRUE,-0.397980907,1.60E-06,136,-0.306189136,0.000999001,TRUE,-0.313607474,2.70E-07,258
7,-0.390322002,0.000999001,TRUE,-0.479057897,3.64E-09,136,-0.253056858,0.000999001,TRUE,-0.327323677,7.41E-08,258
8,-0.449725403,0.000999001,TRUE,-0.491985739,1.18E-09,136,-0.351625546,0.000999001,TRUE,-0.355774131,4.09E-09,258
9,-0.441933697,0.000999001,TRUE,-0.488861735,1.56E-09,136,-0.357618897,0.000999001,TRUE,-0.352415422,5.85E-09,258
10,0.188342094,0.041958042,FALSE,0.190942513,0.042779333,113,0.290623308,0.000999001,TRUE,0.298015711,7.57E-06,218
11,-0.159542425,0.080919081,FALSE,-0.148448444,0.116603506,113,-0.254786504,0.000999001,TRUE,-0.2554523,0.000137019,218
12,-0.349414806,0.000999001,TRUE,-0.366592985,6.51E-05,113,-0.300155565,0.000999001,TRUE,-0.309597214,3.16E-06,218
